"","i","V2","V3"
"1",400,13,10
"2",420,14,11
"3",440,13,11
"4",460,15,11
"5",480,14,11
"6",500,14,11
"7",520,14,12
"8",540,14,11
"9",560,16,10
"10",580,14,10
"11",600,13,12
"12",620,15,10
"13",640,16,12
"14",660,15,12
"15",680,14,11
"16",700,15,12
"17",720,16,12
"18",740,15,12
"19",760,16,13
"20",780,16,12
"21",800,17,12
"22",820,15,11
"23",840,16,13
"24",860,17,12
"25",880,16,13
"26",900,16,12
"27",920,18,13
"28",940,17,12
"29",960,17,12
"30",980,15,12
"31",1000,17,12
"32",1020,16,13
"33",1040,17,12
"34",1060,16,12
"35",1080,17,13
"36",1100,16,12
"37",1120,17,12
"38",1140,16,12
"39",1160,17,13
"40",1180,17,13
"41",1200,17,13
"42",1220,17,12
"43",1240,16,13
"44",1260,17,13
"45",1280,18,13
"46",1300,18,13
"47",1320,17,13
"48",1340,18,13
"49",1360,18,13
"50",1380,17,13
"51",1400,18,13
